Atom,Atomic Number,number of neutrons,Atomic Mass,Electron Configuration,n_s,n_el_s,n_p,n_el_p,n_d,n_el_d,n_f,n_el_f,Oxidation States,Electronegativity (Pauling Scale),Atomic Radius (van der Waals),Ionization Energy
V,23,28,50.9415,[Ar]4s2 3d3,4,2,0,0,3,3,0,0,"+5, +4, +3, +2",1.63,179,6.746
Cr,24,28,51.996,[Ar]3d5 4s1,4,1,0,0,3,5,0,0,"+6, +3, +2",1.66,189,6.767
Mn,25,30,54.93804,[Ar]4s2 3d5,4,2,0,0,3,5,0,0,"+7, +4, +3, +2",1.55,197,7.434
Fe,26,30,55.84,[Ar]4s2 3d6,4,2,0,0,3,6,0,0,"+3, +2",1.83,194,7.902
Co,27,32,58.93319,[Ar]4s2 3d7,4,2,0,0,3,7,0,0,"+3, +2",1.88,192,7.881
Ni,28,31,58.693,[Ar]4s2 3d8,4,2,0,0,3,8,0,0,"+3, +2",1.91,163,7.64
Cu,29,35,63.55,[Ar]4s1 3d10,4,1,0,0,3,10,0,0,"+2, +1",1.9,140,7.726
Zn,30,35,65.4,[Ar]4s2 3d10,4,2,0,0,3,10,0,0,2,1.65,139,9.394
Ga,31,39,69.723,[Ar]4s2 3d10 4p1,4,2,4,1,3,10,0,0,3,1.81,187,5.999
Ge,32,41,72.63,[Ar]4s2 3d10 4p2,4,2,4,2,3,10,0,0,"+4, +2",2.01,211,7.9
As,33,42,74.92159,[Ar]4s2 3d10 4p3,4,2,4,3,3,10,0,0,"+5, +3, -3",2.18,185,9.815
Se,34,45,78.97,[Ar]4s2 3d10 4p4,4,2,4,4,3,10,0,0,"+6, +4, -2",2.55,190,9.752
Br,35,45,79.9,[Ar]4s2 3d10 4p5,4,2,4,5,3,10,0,0,"+5, +1, -1",2.96,183,11.814
Kr,36,48,83.8,[Ar]4s2 3d10 4p6,4,2,4,6,3,10,0,0,0,3,202,14
Rb,37,48,85.468,[Kr]5s1,5,1,0,0,0,0,0,0,1,0.82,303,4.177
Sr,38,50,87.62,[Kr]5s2,5,2,0,0,0,0,0,0,2,0.95,249,5.695
Y,39,50,88.90584,[Kr]5s2 4d1,5,2,0,0,4,1,0,0,3,1.22,219,6.217
Zr,40,51,91.22,[Kr]5s2 4d2,5,2,0,0,4,2,0,0,4,1.33,186,6.634
Nb,41,52,92.90637,[Kr]5s1 4d4,5,1,0,0,4,4,0,0,"+5, +3",1.6,207,6.759
Mo,42,54,95.95,[Kr]5s1 4d5,5,1,0,0,4,5,0,0,6,2.16,209,7.092
Tc,43,54,96.90636,[Kr]5s2 4d5,5,2,0,0,4,5,0,0,"+7, +6, +4",1.9,209,7.28
Ru,44,57,101.1,[Kr]5s1 4d7,5,1,0,0,4,7,0,0,3,2.2,207,7.361
Rh,45,58,102.9055,[Kr]5s1 4d8,5,1,0,0,4,8,0,0,3,2.28,195,7.459
Pd,46,60,106.42,[Kr]4d10,0,0,0,0,4,10,0,0,"+3, +2",2.2,202,8.337
Ag,47,61,107.868,[Kr]5s1 4d10,5,1,0,0,4,10,0,0,1,1.93,172,7.576
Cd,48,64,112.41,[Kr]5s2 4d10,5,2,0,0,4,10,0,0,2,1.69,158,8.994
In,49,66,114.818,[Kr]5s2 4d10 5p1,5,2,5,1,4,10,0,0,3,1.78,193,5.786
Sn,50,69,118.71,[Kr]5s2 4d10 5p2,5,2,5,2,4,10,0,0,"+4, +2",1.96,217,7.344
Sb,51,71,121.76,[Kr]5s2 4d10 5p3,5,2,5,3,4,10,0,0,"+5, +3, -3",2.05,206,8.64
Te,52,76,127.6,[Kr]5s2 4d10 5p4,5,2,5,4,4,10,0,0,"+6, +4, -2",2.1,206,9.01
I,53,74,126.9045,[Kr]5s2 4d10 5p5,5,2,5,5,4,10,0,0,"+7, +5, +1, -1",2.66,198,10.451
Xe,54,77,131.29,[Kr]5s2 4d10 5p6,5,2,5,6,4,10,0,0,0,2.6,216,12.13
Cs,55,78,132.905452,[Xe]6s1,6,1,0,0,0,0,0,0,1,0.79,343,3.894
Ba,56,81,137.33,[Xe]6s2,6,2,0,0,0,0,0,0,2,0.89,268,5.212
La,57,82,138.9055,[Xe]6s2 5d1,6,2,0,0,5,1,0,0,3,1.1,240,5.577
Ce,58,82,140.116,[Xe]6s2 4f1 5d1,6,2,0,0,5,1,4,1,"+4, +3",1.12,235,5.539
Pr,59,82,140.90766,[Xe]6s2 4f3,6,2,0,0,0,0,4,3,3,1.13,239,5.464
Nd,60,84,144.24,[Xe]6s2 4f4,6,2,0,0,0,0,4,4,3,1.14,229,5.525
