M,A,X,c_M,c_A,c_X,a,c
"Ti, Nb, Ta",Al,C,"0.325, 0.35, 0.325",1,1,3.078,13.843
"Ti, Zr, Nb, Hf, Ta",Al,C,"0.255, 0.12, 0.21, 0.12, 0.195",1,1,3.12,13.92
"Ti, Zr, Nb, Ta",Al,C,"0.27, 0.215, 0.24, 0.275",1,1,3.11,13.82
"Ti, Nb, Ta",Fe,C,"0.332, 0.334, 0.334",1,1,3.094,13.682
"Ti, V, Zr, Nb, Ta",Fe,C,"0.2, 0.2, 0.2, 0.2, 0.2",1,1,3.095,13.64
"Ti, V, Nb, Mo",Ga,C,"0.205, 0.23, 0.175, 0.195",1,1,2.96,12.95
"Ti, Zr, Hf",S,C,"0.35, 0.375, 0.275",1,1,3.335,11.798
"Ti, V, Zr, Nb, Hf","Al, Sn",C,"0.24, 0.1, 0.17, 0.29, 0.2","0.33, 0.67",1,3.235,14.231
"Ti, V, Zr, Nb, Hf","Al, Sn",C,"0.22, 0.1, 0.21, 0.25, 0.22","0.44, 0.56",1,3.193,14.145
"Ti, V, Zr, Nb, Hf","Al, Sn",C,"0.22, 0.14, 0.16, 0.31, 0.17","0.5, 0.5",1,3.182,14.17
"Ti, V, Zr, Nb, Hf","Al, Sn",C,"0.28, 0.49, 0.05, 0.12, 0.06","0.67, 0.33",1,3.19,13.733
"Ti, V, Zr, Nb, Hf","Al, Sn",C,"0.24, 0.45, 0.09, 0.13, 0.09","0.65, 0.35",1,3.187,13.895
